doi	title	Algeria	Argentina	Bosnia and Herzegovina	Brazil	Chile	Colombia	Costa Rica	Croatia	Cyprus	Czechia	Egypt	Ethiopia	Fiji	Greece	Hong Kong	Hungary	India	Indonesia	Iran, Islamic Republic of	Israel	Japan	Korea, Republic of	Lebanon	Malaysia	Mexico	Morocco	Pakistan	Peru	Philippines	Poland	Puerto Rico	Qatar	Romania	Russian Federation	Saudi Arabia	Senegal	Serbia	Singapore	Slovenia	South Africa	Syrian Arab Republic	Taiwan, Province of China	Thailand	Tunisia	Turkey	United Arab Emirates	Venezuela, Bolivarian Republic of	Viet Nam	Yemen
10.1002/jmr.2838	Structure‐guided screening of chemical database to identify NS3‐NS2B inhibitors for effective therapeutic application in dengue infection																	{'I106542073': 'University of Calcutta'}																		{'I106778892': 'Princess Nourah bint Abdulrahman University', 'I28022161': 'King Saud University'}					{'I69552723': 'University of Pretoria', 'I95023434': 'University of KwaZulu-Natal'}									
10.1002/jrs.1734	Reference database of Raman spectra of biological molecules																	{'I119598438': 'Raman Research Institute'}																																
10.1002/minf.202000013	CompoundDB4j: Integrated Drug Resource of Heterogeneous Chemical Databases																	{'I81556334': 'Amrita Vishwa Vidyapeetham University'}																																
10.1002/pmic.200500358	Overview of the HUPO Plasma Proteome Project: Results from the pilot phase with 35 collaborating laboratories and multiple analytical groups, generating a core dataset of 3020 proteins and a publicly-available database																				{'I174306211': 'Technion – Israel Institute of Technology'}	{'I118347220': 'NEC'}	{'I193775966': 'Yonsei University', 'I4210139925': 'Korea Basic Science Institute'}			{'I87182695': 'Universidad del Noreste'}									{'I1313323035': 'Russian Academy of Sciences'}						{'I1326427960': 'Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa'}		{'I4210092384': 'Institute of Biological Chemistry, Academia Sinica'}							
10.1007/978-1-60761-232-2_6	Human Protein Reference Database and Human Proteinpedia as Discovery Tools for Systems Biology																	{'I4210148697': 'Institute of Bioinformatics'}																																
10.1007/978-1-62703-302-2_4	One Stop Shop for Everything Dictyostelium: dictyBase and the Dicty Stock Center in 2012																													{'I4210100400': 'Northwestern University'}																				
10.1007/978-3-319-49004-5_2	Selection and Combination of Heterogeneous Mappings to Enhance Biomedical Ontology Matching	"{'I4210149016': ""École Nationale Supérieure d'Informatique""}"																																																
10.1007/978-3-319-62521-8_34	Gene-Disease-Food Relation Extraction from Biomedical Database											{'I21376657': 'Tanta University'}						{'I1297533735': 'Techno India College of Technology'}																{'I4210106141': 'Vasile Goldis Western University of Arad'}		{'I179331831': 'Taif University'}														
10.1007/s00894-017-3253-8	Docking-based virtual screening of Brazilian natural compounds using the OOMT as the pharmacological target database				{'I4210130985': 'Federal University of São João del-Rei', 'I166595947': 'Universidade Federal de São João del-Rei', 'I115474868': 'Centro Federal de Educação Tecnológica de Minas Gerais'}																																													
10.1007/s10295-010-0697-6	Mining of genomic databases to identify novel biodesulfurizing microorganisms																	{'I68891433': 'Indian Institute of Technology Delhi'}																																
10.1007/s11105-014-0698-0	PSPDB: Plant Stress Protein Database																	{'I8975392': 'Osmania University'}																					{'I3005327000': 'Institute for Infocomm Research'}											
10.1016/b978-0-323-89824-9.00009-4	From molecules to patients: the clinical applications of biological databases and electronic health records																	{'I110166357': 'University of Delhi', 'I59475050': 'Jamia Millia Islamia', 'I19716509': 'Jamia Hamdard'}																																
10.1016/j.aquatox.2007.04.005	The copepod Tigriopus: A promising marine model organism for ecotoxicology and environmental genomics																															{'I26005898': 'UPRRP College of Natural Sciences'}																		
10.1016/j.cpb.2016.11.001	Manually Curated Database of Rice Proteins (MCDRP), a database of digitized experimental data on rice																	{'I110166357': 'University of Delhi'}																																
10.1016/j.ecoenv.2018.10.060	Consensus QSAR modeling of toxicity of pharmaceuticals to different aquatic organisms: Ranking and prioritization of the DrugBank database compounds																	{'I170979836': 'Jadavpur University'}																																
10.1016/j.ijid.2020.05.023	On the crucial role of multilingual biomedical databases in epidemic events (SARS-CoV-2 analysis)				{'I130442723': 'Federal University of Rio Grande do Sul'}																																													
10.1016/j.isci.2018.11.029	CellMinerCDB for Integrative Cross-Database Genomics and Pharmacogenomics Analyses of Cancer Cell Lines				{'I122558511': 'Federal University of Mato Grosso do Sul'}																	{'I3123035732': 'Hamamatsu University School of Medicine'}																												
10.1016/j.jbi.2011.11.010	BOAT: Automatic alignment of biomedical ontologies using term informativeness and candidate selection																																						{'I172675005': 'Nanyang Technological University'}											
10.1016/j.jlp.2011.03.005	Development of a new chemical process-industry accident database to assist in past accident analysis																	{'I175691731': 'Pondicherry University'}																																
10.1016/j.jmgm.2017.12.020	FilTer BaSe: A web accessible chemical database for small compound libraries																	{'I878213199': 'University of Pune', 'I4210130378': 'Tech Mahindra'}																																
10.1016/j.jplph.2021.153531	Plant lectins and their many roles: Carbohydrate-binding and beyond																	{'I152429107': 'Jawaharlal Nehru University'}																																
10.1016/j.lithos.2004.04.048	An overview of adakite, tonalite–trondhjemite–granodiorite (TTG), and sanukitoid: relationships and some implications for crustal evolution																					{'I43545212': 'Ehime University'}																			{'I26092322': 'Stellenbosch University'}									
10.1016/j.tox.2014.11.006	EDCs DataBank: 3D-Structure database of endocrine disrupting chemicals						{'I153390918': 'University of Cartagena'}																																											
10.1016/s0167-7799(03)00028-3	Mining genomic databases to identify novel hydrogen producers																	{'I177828482': 'Institute of Genomics and Integrative Biology'}																																
10.1016/s0167-7799(03)00108-2	From biological databases to platforms for biomedical discovery																	{'I4210148697': 'Institute of Bioinformatics'}																																
10.1016/s2221-1691(12)60050-1	Syzygium cumini (L.) Skeels: A review of its phytochemical constituents and traditional uses																	"{'I188002636': ""Pachaiyappa's College""}"																		{'I28022161': 'King Saud University'}														
10.1021/acs.est.9b00280	Human Indoor Exposome of Chemicals in Dust and Risk Prioritization Using EPA’s ToxCast Database																																						{'I172675005': 'Nanyang Technological University'}											
10.1021/acs.jcim.8b00619	Chemical Space and Diversity of the NuBBE Database: A Chemoinformatic Characterization				{'I879563668': 'São Paulo State University'}																					{'I8961855': 'National Autonomous University of Mexico'}																								
10.1021/ci0498719	Similarity Searching of Chemical Databases Using Atom Environment Descriptors (MOLPRINT 2D): Evaluation of Performance																	{'I123852011': 'Aventis Pharma'}																																
10.1038/nbt0803-845	Genomic databases yield novel bioplastic producers																	{'I177828482': 'Institute of Genomics and Integrative Biology'}																																
10.1038/nclimate1958	Global imprint of climate change on marine life																																								{'I99712911': 'Nelson Mandela University'}									
10.1038/ng.2982	An atlas of genetic influences on human blood metabolites																																{'I92528248': 'Qatar Foundation'}																	
10.1038/nrd2684	Genomic-scale prioritization of drug targets: the TDR Targets database		{'I228664971': 'National University of General San Martín'}																																															
10.1038/s41598-017-07451-x	NuBBEDB: an updated database to uncover chemical and biological information from Brazilian biodiversity				{'I879563668': 'São Paulo State University', 'I177909021': 'Federal University of São Carlos'}																																													
10.1038/sdata.2016.18	The FAIR Guiding Principles for scientific data management and stewardship				{'I88273585': 'Federal University of São Paulo'}																																													
10.1038/srep03376	Combining next-generation sequencing and online databases for microsatellite development in non-model organisms													{'I44666525': 'University of the South Pacific'}																																				
10.1038/srep20031	siRNAmod: A database of experimentally validated chemically modified siRNAs																	{'I4210147764': 'Institute of Microbial Technology'}																																
10.1073/pnas.0506580102	Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles																																								{'I1326427960': 'Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa'}									
10.1089/zeb.2012.0854	Mapping of Zebrafish Research: A Global Outlook																	{'I28700744': 'National Institute of Science Communication and Information Resources'}																																
10.1093/bib/bbv011	The role of ontologies in biological and biomedical research: a functional perspective																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1093/bioinformatics/18.12.1641	Modeling the percolation of annotation errors in a database of protein sequences																	{'I4210148697': 'Institute of Bioinformatics'}																																
10.1093/bioinformatics/btf860	The Database of Quantitative Cellular Signaling: management and analysis of chemical kinetic models of signaling networks																	{'I194223965': 'National Centre for Biological Sciences'}																																
10.1093/bioinformatics/btm139	DITOP: drug-induced toxicity related protein database																																						{'I165932596': 'National University of Singapore'}											
10.1093/bioinformatics/btm570	Automatic synchronization and distribution of biological databases and software over low-bandwidth networks among developing countries																																						{'I165932596': 'National University of Singapore'}					{'I131868736': 'Prince of Songkla University'}						
10.1093/bioinformatics/btt254	A poor man's BLASTX--high-throughput metagenomic protein database search using PAUDA																																						{'I172675005': 'Nanyang Technological University'}											
10.1093/bioinformatics/btw445	SWORD—a highly efficient protein database search								{'I181343428': 'University of Zagreb'}																														{'I4210148498': 'Bioinformatics Institute'}											
10.1093/bioinformatics/bty933	OPA2Vec: combining formal and informal content of biomedical ontologies to improve similarity-based prediction																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1093/bioinformatics/btz920	Formal axioms in biomedical ontologies improve analysis and interpretation of associated data																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1093/database/baab012	Post-translational modifications in proteins: resources, tools and prediction methods																			{'I1516879': 'Tarbiat Modares University'}																														
10.1093/database/baq027	Towards BioDBcore: a community-defined information specification for biological databases																					{'I47232531': 'Bank of Japan', 'I73613424': 'National Institute of Advanced Industrial Science and Technology'}								{'I4210100400': 'Northwestern University'}									{'I165932596': 'National University of Singapore'}											
10.1093/database/bar041	BioMart Central Portal: an open database network for the biological community																					{'I74801974': 'University of Tokyo'}							{'I1318233029': 'International Potato Center'}																					
10.1093/database/bas015	CPPsite: a curated database of cell penetrating peptides																	{'I4210147764': 'Institute of Microbial Technology'}																																
10.1093/database/bas038	Developing a biocuration workflow for AgBase, a non-model organism database					{'I3130035786': 'University Ucinf'}																																												
10.1093/database/bas056	An overview of the BioCreative 2012 Workshop Track III: interactive text mining task																	{'I111575329': 'Bharathiar University'}												{'I4210100400': 'Northwestern University'}													"{'I4210097625': ""St. John's University"", 'I4210098366': 'Institute of Information Science, Academia Sinica'}"							
10.1093/database/bat034	lncRNome: a comprehensive knowledgebase of human long noncoding RNAs																	{'I177828482': 'Institute of Genomics and Integrative Biology'}																																
10.1093/database/bau070	Text-mining-assisted biocuration workflows in Argo																													{'I87074743': 'University of the Philippines Diliman'}																				
10.1093/database/bau099	miRIAD—integrating microRNA inter- and intragenic data				{'I4210149843': 'Hospital Sírio-Libanês'}																																													
10.1093/database/bau114	The Halophile Protein Database																	{'I1141210': 'Indian Agricultural Statistics Research Institute'}																																
10.1093/database/bau126	Comparison of human cell signaling pathway databases—evolution, drawbacks and challenges																	{'I99364266': 'Academy of Scientific and Innovative Research'}																																
10.1093/database/baw119	Overview of the interactive task in BioCreative V																	{'I111575329': 'Bharathiar University'}								{'I8961855': 'National Autonomous University of Mexico'}																	{'I47519274': 'Taipei Medical University', 'I178613991': 'National Taitung University', 'I84653119': 'Academia Sinica'}							
